Node_ID,Name,Type,X,Y,PX,PY,Parent
54,教一楼,Building,569.44,775.22,704.4448356670359,909.777414891528,教一楼
55,教一楼_南门,Door,569.44,737.16,704.4448356670359,947.838027359801,教一楼
56,教一楼_西门,Door,441.52,787.91,576.5188882042294,897.0905440687703,教一楼
57,学十三公寓,Building,58.8,1074.42,193.79828505103967,610.578711321493,学十三公寓
58,学十三公寓_入口,Door,87.34,1096.62,222.3437444022444,588.376687381667,学十三公寓
59,学三公寓,Building,179.32,1064.91,314.3235578672376,620.0938644385612,学三公寓
60,学三公寓_入口,Door,177.21,1085.11,312.20907939677795,597.8918404987353,学三公寓
61,学四公寓,Building,317.82,1064.91,452.82189768234207,620.0938644385612,学四公寓
62,学四公寓_入口,Door,316.76,1085.17,451.7646584471123,596.8346012635055,学四公寓
63,学29公寓,Building,956.27,1012.5,1091.272309139942,672.4975328239273,学29公寓
64,学29公寓_入口,Door,955.45,938.79,1090.453288290615,746.2094092633148,学29公寓
65,网球场排球场,Building,859.63,1013.32,994.6278489194116,671.6785119746007,网球场排球场
66,网球场排球场_入口,Door,832.6,953.53,967.600160891636,731.4670339754373,网球场排球场
67,篮球场,Building,782.64,1012.5,917.639889082718,672.4975328239273,篮球场
68,篮球场_入口,Door,733.5,1005.13,868.498638123126,679.8687204678661,篮球场
69,图书馆,Building,631.94,1011.68,766.9400528066367,673.3165536732538,图书馆
70,图书馆_入口,Door,570.51,1010.86,705.513489107147,674.1355745225803,图书馆
71,档案馆,Building,636.53,1069.22,771.5274263921981,615.7842865147599,档案馆
72,档案馆_入口,Door,636.95,1090.54,771.9539744466922,594.4568837900529,档案馆
73,科学技术研究院,Building,635.25,954.47,770.2477822287157,730.5257131736832,科学技术研究院
74,科学技术研究院_入口,Door,635.25,933.57,770.2477822287157,751.4265678438961,科学技术研究院
75,配电室,Building,669.8,870.87,804.798174642741,814.1291318545345,配电室
76,配电室_入口,Door,698.8,861.91,833.8034423483424,823.0866409989114,配电室
77,行政办公楼,Building,570.84,850.4,705.8390260001006,834.6034384702532,行政办公楼
78,行政办公楼_入口,Door,571.69,895.18,706.6921221090889,789.8158927483686,行政办公楼
79,教一楼_东门,Door,699.03,792.2,834.0269256908846,892.8030733832948,教一楼
80,东配楼,Building,947.54,1175.54,1082.5429627614922,509.4565336706144,东配楼
81,东配楼_入口,Door,909.25,1191.14,1044.2506715314298,493.8559705768853,东配楼
82,学生食堂,Building,778.77,1164.91,913.7732347475136,520.0932812345206,学生食堂
83,学生食堂_南门,Door,766.72,1122.36,901.7182541750864,562.6402714901456,学生食堂
84,学生食堂_西门,Door,731.97,1165.62,866.971545466326,519.3841647302602,学生食堂
85,科研楼,Building,790.83,1281.91,925.8282153199405,403.0890580315522,科研楼
86,科研楼_南门,Door,751.83,1221.64,886.8268075856176,463.3639608936875,科研楼
87,科研楼_北门,Door,782.32,1341.48,917.3188172688156,343.5232716736774,科研楼
88,老干部活动中心,Building,958.18,1293.26,1093.1797103253984,391.7431939633856,老干部活动中心
89,老干部活动中心_入口,Door,929.11,1294.68,1064.1059336507217,390.3249609548648,老干部活动中心
90,员工宿舍,Building,926.27,1381.19,1061.2694676336796,303.81274743509425,员工宿舍
91,员工宿舍_入口,Door,926.98,1360.62,1061.97858413794,324.37712605864624,员工宿舍
92,员工宿舍2,Building,57.93,1264.05,192.9319877855823,420.9454271484826,员工宿舍2
93,员工宿舍2_入口,Door,83.67,1265.53,218.67090709426265,419.4746317594152,员工宿舍2
94,留学生公寓,Building,160.89,1275.82,295.8876650203036,409.17906403594304,留学生公寓
95,留学生公寓_入口,Door,157.21,1307.44,292.21067654763505,377.5569631709928,留学生公寓
96,学五公寓,Building,177.8,1200.81,312.8018119945793,484.1896288783829,学五公寓
97,学五公寓_入口,Door,177.07,1176.54,312.06641430004555,508.4577527979957,学五公寓
98,学八公寓,Building,317.53,1198.6,452.5273739559869,486.395821961984,学八公寓
99,学八公寓_入口,Door,316.06,1175.81,451.0565785669194,509.1931504925295,学八公寓
100,综合食堂,Building,319.0,1280.97,453.99816934505424,404.0312801742069,综合食堂
101,综合食堂_东门,Door,381.51,1280.97,516.5069733804207,404.0312801742069,综合食堂
102,综合食堂_西门,Door,253.55,1278.76,388.5477745315529,406.2374732578081,综合食堂
103,国际汉语培训中心,Building,222.66,1276.56,357.6610713611364,408.4436663414093,国际汉语培训中心
104,学九公寓,Building,165.3,1350.1,300.300051187506,334.9038968880369,学九公寓
105,学九公寓_入口,Door,191.77,1325.83,326.77436819072005,359.1720208076498,学九公寓
106,教九楼,Building,223.4,1347.89,358.39646905567014,337.1100899716381,教九楼
107,教九楼_入口,Door,239.58,1361.13,374.5752183354121,323.87293147003106,教九楼
108,北邮锦江酒店,Building,68.96,1393.48,203.9629532035881,291.51543291054713,北邮锦江酒店
109,北邮锦江酒店_东门,Door,117.5,1386.13,252.49920104281392,298.86940985588444,北邮锦江酒店
110,北邮锦江酒店_北门,Door,46.17,1464.82,181.16562467304271,220.18185654077595,北邮锦江酒店
111,学十一公寓,Building,179.27,1427.31,314.27260738364674,257.68713896199586,学十一公寓
112,学事业公寓_入口,Door,217.26,1405.32,352.2564861588277,279.6769322779487,学事业公寓
113,学十公寓,Building,318.54,1381.95,453.5447368760362,303.0466560730839,学十公寓
114,学十公寓_西门,Door,256.16,1394.78,391.1637127053135,290.2206511034026,学十公寓
115,学十公寓_南门,Door,318.54,1327.15,453.5447368760362,357.8486773071768,学十公寓
116,学十公寓_东门,Door,380.93,1392.45,515.925761046759,292.552652006981,学十公寓
117,学生活动中心,Building,491.7,1288.67,626.695803966734,396.3266922162208,学生活动中心
118,学生活动中心_北门,Door,449.14,1320.74,584.1367874764278,364.2616797920175,学生活动中心
119,学生活动中心_南门,Door,449.14,1260.11,584.1367874764278,424.8937032850564,学生活动中心
120,经管楼,Building,502.77,1393.03,637.7728082587315,291.9696517810863,经管楼
121,经管楼_入口,Door,475.37,1356.3,610.3717976416851,328.6986660124465,经管楼
122,快递站,Building,502.19,1446.67,637.1898080328369,238.33363099878272,快递站
123,综合服务楼,Building,569.82,1285.18,704.8178342366111,399.82469357158834,综合服务楼
